Date,Med Home Sale Price/Med Houshold Income,,,,
1/1/1984,3.49,,,,
4/1/1984,3.60,,,,
7/1/1984,3.61,,,,
10/1/1984,3.56,,,,
1/1/1985,3.51,,,,
4/1/1985,3.57,,,,
7/1/1985,3.52,,,,
10/1/1985,3.67,,,,
1/1/1986,3.53,,,,
4/1/1986,3.70,,,,
7/1/1986,3.73,,,,
10/1/1986,3.82,,,,
1/1/1987,3.76,,,,
4/1/1987,3.97,,,,
7/1/1987,4.07,,,,
10/1/1987,4.28,,,,
1/1/1988,4.04,,,,
4/1/1988,4.04,,,,
7/1/1988,4.22,,,,
10/1/1988,4.18,,,,
1/1/1989,4.08,,,,
4/1/1989,4.11,,,,
7/1/1989,4.15,,,,
10/1/1989,4.32,,,,
1/1/1990,4.14,,,,
4/1/1990,4.24,,,,
7/1/1990,3.91,,,,
10/1/1990,4.06,,,,
1/1/1991,3.98,,,,
4/1/1991,3.98,,,,
7/1/1991,3.98,,,,
10/1/1991,3.98,,,,
1/1/1992,3.90,,,,
4/1/1992,3.92,,,,
7/1/1992,3.92,,,,
10/1/1992,4.11,,,,
1/1/1993,4.00,,,,
4/1/1993,4.07,,,,
7/1/1993,4.07,,,,
10/1/1993,4.07,,,,
1/1/1994,4.03,,,,
4/1/1994,4.03,,,,
7/1/1994,4.02,,,,
10/1/1994,4.09,,,,
1/1/1995,3.81,,,,
4/1/1995,3.93,,,,
7/1/1995,3.87,,,,
10/1/1995,4.05,,,,
1/1/1996,3.86,,,,
4/1/1996,3.94,,,,
7/1/1996,3.94,,,,
10/1/1996,4.06,,,,
1/1/1997,3.92,,,,
4/1/1997,3.94,,,,
7/1/1997,3.92,,,,
10/1/1997,3.90,,,,
1/1/1998,3.91,,,,
4/1/1998,3.84,,,,
7/1/1998,3.93,,,,
10/1/1998,3.93,,,,
1/1/1999,3.87,,,,
4/1/1999,3.90,,,,
7/1/1999,3.91,,,,
10/1/1999,4.06,,,,
1/1/2000,3.94,,,,
4/1/2000,3.89,,,,
7/1/2000,4.02,,,,
10/1/2000,4.12,,,,
1/1/2001,4.02,,,,
4/1/2001,4.24,,,,
7/1/2001,4.08,,,,
10/1/2001,4.05,,,,
1/1/2002,4.45,,,,
4/1/2002,4.41,,,,
7/1/2002,4.20,,,,
10/1/2002,4.48,,,,
1/1/2003,4.29,,,,
4/1/2003,4.43,,,,
7/1/2003,4.43,,,,
10/1/2003,4.59,,,,
1/1/2004,4.80,,,,
4/1/2004,4.91,,,,
7/1/2004,4.82,,,,
10/1/2004,5.16,,,,
1/1/2005,5.02,,,,
4/1/2005,5.04,,,,
7/1/2005,5.10,,,,
10/1/2005,5.26,,,,
1/1/2006,5.14,,,,
4/1/2006,5.11,,,,
7/1/2006,4.89,,,,
10/1/2006,5.09,,,,
1/1/2007,5.12,,,,
4/1/2007,4.82,,,,
7/1/2007,4.81,,,,
10/1/2007,4.75,,,,
1/1/2008,4.65,,,,
4/1/2008,4.68,,,,
7/1/2008,4.50,,,,
10/1/2008,4.42,,,,
1/1/2009,4.19,,,,
4/1/2009,4.44,,,,
7/1/2009,4.30,,,,
10/1/2009,4.40,,,,
1/1/2010,4.52,,,,
4/1/2010,4.45,,,,
7/1/2010,4.55,,,,
10/1/2010,4.55,,,,
1/1/2011,4.53,,,,
4/1/2011,4.56,,,,
7/1/2011,4.47,,,,
10/1/2011,4.42,,,,
1/1/2012,4.67,,,,
4/1/2012,4.68,,,,
7/1/2012,4.88,,,,
10/1/2012,4.93,,,,
1/1/2013,4.82,,,,
4/1/2013,5.00,,,,
7/1/2013,4.94,,,,
10/1/2013,5.11,,,,
1/1/2014,5.13,,,,
4/1/2014,5.37,,,,
7/1/2014,5.24,,,,
10/1/2014,5.57,,,,
1/1/2015,5.12,,,,
4/1/2015,5.12,,,,
7/1/2015,5.23,,,,
10/1/2015,5.35,,,,
1/1/2016,5.08,,,,
4/1/2016,5.18,,,,
7/1/2016,5.15,,,,
10/1/2016,5.27,,,,
1/1/2017,5.12,,,,
4/1/2017,5.20,,,,
7/1/2017,5.24,,,,
10/1/2017,5.53,,,,
1/1/2018,5.25,,,,
4/1/2018,5.00,,,,
7/1/2018,5.24,,,,
10/1/2018,5.11,,,,
1/1/2019,4.56,,,,
4/1/2019,4.69,,,,
7/1/2019,4.63,,,,
10/1/2019,4.76,,,,
1/1/2020,4.84,,,,
4/1/2020,4.66,,,,
7/1/2020,4.82,,,,
10/1/2020,4.98,,,,
1/1/2021,5.02,,,,
4/1/2021,5.20,,,,
7/1/2021,5.58,,,,
10/1/2021,5.85,,,,
1/1/2022,5.54,,,,
4/1/2022,5.87,,,,
7/1/2022,5.87,,,,
10/1/2022,5.93,,,,
1/1/2023,5.32,,,,
4/1/2023,5.19,,,,
7/1/2023,5.40,,,,
10/1/2023,5.25,,,,
1/1/2024,5.10,,,,
4/1/2024,4.95,,,,
7/1/2024,4.96,,,,
10/1/2024,5.01,,,,
1/1/2025,5.05,,,,
4/1/2025,4.91,,,,
