Date,Companies
1/1/1969,2153
2/1/1969,2165
3/1/1969,2173
4/1/1969,2186
5/1/1969,2193
6/1/1969,2204
7/1/1969,2214
8/1/1969,2232
9/1/1969,2238
10/1/1969,2244
11/1/1969,2249
12/1/1969,2253
1/1/1970,2264
2/1/1970,2282
3/1/1970,2293
4/1/1970,2298
5/1/1970,2301
6/1/1970,2302
7/1/1970,2306
8/1/1970,2306
9/1/1970,2317
10/1/1970,2326
11/1/1970,2335
12/1/1970,2332
1/1/1971,2338
2/1/1971,2342
3/1/1971,2341
4/1/1971,2352
5/1/1971,2357
6/1/1971,2360
7/1/1971,2373
8/1/1971,2382
9/1/1971,2396
10/1/1971,2407
11/1/1971,2421
12/1/1971,2437
1/1/1972,2448
2/1/1972,2462
3/1/1972,2467
4/1/1972,2476
5/1/1972,2486
6/1/1972,2488
7/1/1972,2498
8/1/1972,2509
9/1/1972,2524
10/1/1972,2531
11/1/1972,2544
12/1/1972,5408
1/1/1973,5453
2/1/1973,5459
3/1/1973,5428
4/1/1973,5390
5/1/1973,5327
6/1/1973,5273
7/1/1973,5233
8/1/1973,5191
9/1/1973,5157
10/1/1973,5138
11/1/1973,5080
12/1/1973,4991
1/1/1974,4933
2/1/1974,4918
3/1/1974,4903
4/1/1974,4894
5/1/1974,4875
6/1/1974,4849
7/1/1974,4832
8/1/1974,4797
9/1/1974,4768
10/1/1974,4731
11/1/1974,4687
12/1/1974,4660
1/1/1975,4633
2/1/1975,4637
3/1/1975,4631
4/1/1975,4635
5/1/1975,4659
6/1/1975,4654
7/1/1975,4669
8/1/1975,4673
9/1/1975,4684
10/1/1975,4683
11/1/1975,4680
12/1/1975,4674
1/1/1976,4689
2/1/1976,4687
3/1/1976,4688
4/1/1976,4691
5/1/1976,4687
6/1/1976,4703
7/1/1976,4723
8/1/1976,4730
9/1/1976,4747
10/1/1976,4767
11/1/1976,4757
12/1/1976,4746
1/1/1977,4738
2/1/1977,4729
3/1/1977,4731
4/1/1977,4735
5/1/1977,4727
6/1/1977,4736
7/1/1977,4721
8/1/1977,4708
9/1/1977,4695
10/1/1977,4688
11/1/1977,4687
12/1/1977,4669
1/1/1978,4646
2/1/1978,4637
3/1/1978,4631
4/1/1978,4633
5/1/1978,4618
6/1/1978,4601
7/1/1978,4595
8/1/1978,4589
9/1/1978,4600
10/1/1978,4604
11/1/1978,4598
12/1/1978,4594
1/1/1979,4581
2/1/1979,4567
3/1/1979,4579
4/1/1979,4572
5/1/1979,4581
6/1/1979,4567
7/1/1979,4563
8/1/1979,4558
9/1/1979,4561
10/1/1979,4570
11/1/1979,4574
12/1/1979,4579
1/1/1980,4577
2/1/1980,4588
3/1/1980,4595
4/1/1980,4585
5/1/1980,4584
6/1/1980,4593
7/1/1980,4624
8/1/1980,4633
9/1/1980,4652
10/1/1980,4686
11/1/1980,4717
12/1/1980,4747
1/1/1981,4773
2/1/1981,4788
3/1/1981,4821
4/1/1981,4868
5/1/1981,4919
6/1/1981,4971
7/1/1981,5031
8/1/1981,5059
9/1/1981,5080
10/1/1981,5095
11/1/1981,5120
12/1/1981,5146
1/1/1982,5138
2/1/1982,5147
3/1/1982,5138
4/1/1982,5112
5/1/1982,5108
6/1/1982,5097
7/1/1982,5094
8/1/1982,5081
9/1/1982,5060
10/1/1982,5037
11/1/1982,5213
12/1/1982,5243
1/1/1983,5227
2/1/1983,5258
3/1/1983,5291
4/1/1983,5329
5/1/1983,5370
6/1/1983,5430
7/1/1983,5507
8/1/1983,5570
9/1/1983,5633
10/1/1983,5718
11/1/1983,5787
12/1/1983,5873
1/1/1984,5902
2/1/1984,5937
3/1/1984,5975
4/1/1984,6003
5/1/1984,6020
6/1/1984,6028
7/1/1984,6033
8/1/1984,6051
9/1/1984,6015
10/1/1984,6001
11/1/1984,5989
12/1/1984,5997
1/1/1985,5972
2/1/1985,5965
3/1/1985,5960
4/1/1985,5956
5/1/1985,5949
6/1/1985,5943
7/1/1985,5945
