Date,USA,FRN
1/1/1970,1,1
2/1/1970,1.041108529,1.021239875
3/1/1970,1.018205237,1.043226531
4/1/1970,0.859370176,0.92494792
5/1/1970,0.78089949,0.799657423
6/1/1970,0.724626775,0.775496273
7/1/1970,0.766583798,0.857665726
8/1/1970,0.813401407,0.885527969
9/1/1970,0.913301148,0.951582983
10/1/1970,0.859611517,0.927044703
11/1/1970,0.86489287,0.948671791
12/1/1970,0.936909173,0.99895089
1/1/1971,1.060887878,1.079634555
2/1/1971,1.108605611,1.083530308
3/1/1971,1.173302101,1.142323096
4/1/1971,1.206463545,1.151619779
5/1/1971,1.148379301,1.123707663
6/1/1971,1.133061786,1.133067848
7/1/1971,1.068008282,1.106547942
8/1/1971,1.113075588,1.150885474
9/1/1971,1.10890388,1.141971942
10/1/1971,1.044440289,1.053186517
11/1/1971,1.011238118,1.056633947
12/1/1971,1.132307138,1.202506561
1/1/1972,1.24810672,1.308998652
2/1/1972,1.30183991,1.360276243
3/1/1972,1.30029876,1.327131169
4/1/1972,1.305167582,1.382839396
5/1/1972,1.281430854,1.428887454
6/1/1972,1.239034578,1.384502638
7/1/1972,1.200670407,1.428939733
8/1/1972,1.214448413,1.53064013
9/1/1972,1.175938426,1.491026507
10/1/1972,1.160817345,1.446303806
11/1/1972,1.222740328,1.53160071
12/1/1972,1.208842559,1.560318393
1/1/1973,1.170507105,1.576651286
2/1/1973,1.08217034,1.522177721
3/1/1973,1.049761983,1.507930561
4/1/1973,0.973270261,1.3739325
5/1/1973,0.892156009,1.317172295
6/1/1973,0.856683693,1.338464605
7/1/1973,0.959219907,1.487758434
8/1/1973,0.91742399,1.518832335
9/1/1973,0.993388997,1.660006113
10/1/1973,0.993131165,1.713729813
11/1/1973,0.809649893,1.490460143
12/1/1973,0.776956276,1.48930487
1/1/1974,0.88045454,1.565861842
2/1/1974,0.886361301,1.572544506
3/1/1974,0.895598723,1.536080344
4/1/1974,0.849741276,1.405655602
5/1/1974,0.790899165,1.220779014
6/1/1974,0.768333202,1.191831359
7/1/1974,0.728572051,1.206919282
8/1/1974,0.668806447,1.083320086
9/1/1974,0.612456886,0.960076718
10/1/1974,0.671803084,1.126464574
11/1/1974,0.63772328,1.055164373
12/1/1974,0.587641075,0.981910759
1/1/1975,0.763152222,1.145234103
2/1/1975,0.806507675,1.180993974
3/1/1975,0.878341079,1.209439723
4/1/1975,0.914494499,1.229351872
5/1/1975,0.98923381,1.29647223
6/1/1975,1.066491233,1.320331713
7/1/1975,1.054967404,1.301927462
8/1/1975,1.002448556,1.267903252
9/1/1975,0.966105717,1.215964581
10/1/1975,0.985457732,1.183423815
11/1/1975,1.006761245,1.250078044
12/1/1975,0.999648702,1.213906378
1/1/1976,1.20224216,1.386321142
2/1/1976,1.32908555,1.507484297
3/1/1976,1.357734559,1.539567768
4/1/1976,1.344817806,1.537094979
5/1/1976,1.314223944,1.548803355
6/1/1976,1.352896646,1.573098129
7/1/1976,1.35525917,1.564601743
8/1/1976,1.331444114,1.521454474
9/1/1976,1.354102223,1.467322084
10/1/1976,1.320450555,1.440377803
11/1/1976,1.352755325,1.347432725
12/1/1976,1.491577065,1.474284297
1/1/1977,1.542862849,1.493646383
2/1/1977,1.539891204,1.50475416
3/1/1977,1.554680948,1.511843769
4/1/1977,1.580140365,1.488424514
5/1/1977,1.586116653,1.452957864
6/1/1977,1.673317894,1.485527597
7/1/1977,1.685259725,1.498018695
8/1/1977,1.675423047,1.447386767
9/1/1977,1.693445083,1.437832872
10/1/1977,1.653598585,1.36031181
11/1/1977,1.775728102,1.396124309
12/1/1977,1.814047649,1.430668246
1/1/1978,1.788138179,1.35002863
2/1/1978,1.832609408,1.334281967
3/1/1978,1.960706849,1.371215454
4/1/1978,2.127054904,1.470288873
5/1/1978,2.281244728,1.573389785
6/1/1978,2.294937094,1.539764293
7/1/1978,2.419730466,1.656102967
8/1/1978,2.659642052,1.69711056
9/1/1978,2.665510233,1.739723121
10/1/1978,2.149031606,1.57994463
11/1/1978,2.249310998,1.598533819
12/1/1978,2.278675117,1.655837616
1/1/1979,2.50433741,1.793844046
2/1/1979,2.448100519,1.831971702
3/1/1979,2.662387554,2.006768774
