Date,USA,FRN
1/1/1970,1,1
2/1/1970,1.057168676,1.049414326
3/1/1970,1.053892561,1.058856907
4/1/1970,0.946722249,0.935412635
5/1/1970,0.888132246,0.846970076
6/1/1970,0.845357874,0.842953213
7/1/1970,0.907078864,0.908144277
8/1/1970,0.951082913,0.952141388
9/1/1970,0.993355346,0.997559776
10/1/1970,0.978393082,0.999652388
11/1/1970,1.029242283,1.07191692
12/1/1970,1.091598588,1.095758419
1/1/1971,1.144683319,1.126004277
2/1/1971,1.16381084,1.117352052
3/1/1971,1.216317691,1.188253068
4/1/1971,1.257395939,1.179217515
5/1/1971,1.21240738,1.177313279
6/1/1971,1.218782609,1.211556354
7/1/1971,1.16896009,1.191210021
8/1/1971,1.218370949,1.266788948
9/1/1971,1.214203162,1.245392128
10/1/1971,1.166256712,1.181015862
11/1/1971,1.167115543,1.194605244
12/1/1971,1.272836636,1.333495349
1/1/1972,1.307007101,1.381506792
2/1/1972,1.349682494,1.42097308
3/1/1972,1.361727814,1.439261078
4/1/1972,1.369966389,1.463520807
5/1/1972,1.396385806,1.569526848
6/1/1972,1.369128051,1.570774025
7/1/1972,1.366457147,1.592804307
8/1/1972,1.414820066,1.708880081
9/1/1972,1.406076663,1.717139655
10/1/1972,1.419804318,1.6968253
11/1/1972,1.489172064,1.798241626
12/1/1972,1.509018861,1.923388575
1/1/1973,1.470485987,1.89997707
2/1/1973,1.408017626,1.794745446
3/1/1973,1.398677389,1.811289332
4/1/1973,1.328693666,1.673222966
5/1/1973,1.301642766,1.641296668
6/1/1973,1.29193086,1.722412085
7/1/1973,1.363249654,1.846271297
8/1/1973,1.323831039,1.944656634
9/1/1973,1.390654968,2.027401592
10/1/1973,1.388858178,2.114861476
11/1/1973,1.221191725,1.966530823
12/1/1973,1.235590665,2.004608225
1/1/1974,1.235186902,1.923843238
2/1/1974,1.236574428,1.981085368
3/1/1974,1.209101559,1.888949051
4/1/1974,1.158948185,1.818912244
5/1/1974,1.116777809,1.587619178
6/1/1974,1.093260417,1.538008678
7/1/1974,1.009710152,1.562361288
8/1/1974,0.923247879,1.447936661
9/1/1974,0.81635384,1.231477807
10/1/1974,0.956590699,1.506567307
11/1/1974,0.91694267,1.37330174
12/1/1974,0.892707304,1.376215084
1/1/1975,1.013787371,1.476434495
2/1/1975,1.077704996,1.517286617
3/1/1975,1.11147671,1.537491428
4/1/1975,1.167082212,1.653187106
5/1/1975,1.232097042,1.694680856
