Date,Market Cap
1/1/1969,7.16E+11
2/1/1969,7.12E+11
3/1/1969,6.71E+11
4/1/1969,6.93E+11
5/1/1969,7.06E+11
6/1/1969,7.07E+11
7/1/1969,6.60E+11
8/1/1969,6.18E+11
9/1/1969,6.47E+11
10/1/1969,6.32E+11
11/1/1969,6.67E+11
12/1/1969,6.41E+11
1/1/1970,6.38E+11
2/1/1970,5.91E+11
3/1/1970,6.24E+11
4/1/1970,6.20E+11
5/1/1970,5.53E+11
6/1/1970,5.15E+11
7/1/1970,4.91E+11
8/1/1970,5.26E+11
9/1/1970,5.51E+11
10/1/1970,5.77E+11
11/1/1970,5.66E+11
12/1/1970,5.92E+11
1/1/1971,6.36E+11
2/1/1971,6.68E+11
3/1/1971,6.78E+11
4/1/1971,7.08E+11
5/1/1971,7.32E+11
6/1/1971,7.01E+11
7/1/1971,7.04E+11
8/1/1971,6.76E+11
9/1/1971,7.02E+11
10/1/1971,6.98E+11
11/1/1971,6.69E+11
12/1/1971,6.67E+11
1/1/1972,7.42E+11
2/1/1972,7.64E+11
3/1/1972,7.85E+11
4/1/1972,7.92E+11
5/1/1972,7.96E+11
6/1/1972,8.07E+11
7/1/1972,7.90E+11
8/1/1972,7.87E+11
9/1/1972,8.14E+11
10/1/1972,8.07E+11
11/1/1972,8.13E+11
12/1/1972,9.75E+11
1/1/1973,1.00E+12
2/1/1973,9.74E+11
3/1/1973,9.27E+11
4/1/1973,9.19E+11
5/1/1973,8.69E+11
6/1/1973,8.45E+11
7/1/1973,8.35E+11
8/1/1973,8.81E+11
9/1/1973,8.53E+11
10/1/1973,8.98E+11
11/1/1973,8.96E+11
12/1/1973,7.80E+11
1/1/1974,7.90E+11
2/1/1974,7.91E+11
3/1/1974,7.89E+11
4/1/1974,7.69E+11
5/1/1974,7.33E+11
6/1/1974,6.99E+11
7/1/1974,6.81E+11
8/1/1974,6.31E+11
9/1/1974,5.71E+11
10/1/1974,5.07E+11
11/1/1974,5.89E+11
12/1/1974,5.63E+11
1/1/1975,5.48E+11
2/1/1975,6.25E+11
3/1/1975,6.59E+11
4/1/1975,6.83E+11
5/1/1975,7.15E+11
6/1/1975,7.52E+11
7/1/1975,7.90E+11
8/1/1975,7.41E+11
9/1/1975,7.20E+11
10/1/1975,6.91E+11
11/1/1975,7.29E+11
12/1/1975,7.48E+11
1/1/1976,7.38E+11
2/1/1976,8.31E+11
3/1/1976,8.34E+11
4/1/1976,8.56E+11
5/1/1976,8.46E+11
6/1/1976,8.35E+11
7/1/1976,8.70E+11
8/1/1976,8.64E+11
9/1/1976,8.60E+11
10/1/1976,8.81E+11
11/1/1976,8.62E+11
12/1/1976,8.60E+11
1/1/1977,9.14E+11
2/1/1977,8.78E+11
3/1/1977,8.61E+11
4/1/1977,8.53E+11
5/1/1977,8.57E+11
6/1/1977,8.43E+11
7/1/1977,8.85E+11
8/1/1977,8.74E+11
9/1/1977,8.57E+11
10/1/1977,8.56E+11
11/1/1977,8.21E+11
12/1/1977,8.52E+11
1/1/1978,8.58E+11
2/1/1978,8.08E+11
3/1/1978,7.94E+11
4/1/1978,8.18E+11
5/1/1978,8.83E+11
6/1/1978,8.96E+11
7/1/1978,8.86E+11
8/1/1978,9.34E+11
9/1/1978,9.69E+11
10/1/1978,9.61E+11
11/1/1978,8.51E+11
12/1/1978,8.75E+11
1/1/1979,8.90E+11
2/1/1979,9.30E+11
3/1/1979,8.97E+11
4/1/1979,9.53E+11
5/1/1979,9.58E+11
6/1/1979,9.36E+11
7/1/1979,9.78E+11
8/1/1979,9.90E+11
9/1/1979,1.05E+12
10/1/1979,1.05E+12
11/1/1979,9.69E+11
12/1/1979,1.02E+12
1/1/1980,1.06E+12
2/1/1980,1.12E+12
3/1/1980,1.12E+12
4/1/1980,9.79E+11
5/1/1980,1.03E+12
6/1/1980,1.08E+12
7/1/1980,1.13E+12
8/1/1980,1.20E+12
9/1/1980,1.23E+12
10/1/1980,1.26E+12
11/1/1980,1.29E+12
12/1/1980,1.41E+12
1/1/1981,1.37E+12
2/1/1981,1.32E+12
3/1/1981,1.33E+12
4/1/1981,1.39E+12
5/1/1981,1.37E+12
6/1/1981,1.38E+12
7/1/1981,1.37E+12
8/1/1981,1.36E+12
9/1/1981,1.28E+12
10/1/1981,1.19E+12
11/1/1981,1.26E+12
12/1/1981,1.31E+12
1/1/1982,1.27E+12
2/1/1982,1.24E+12
3/1/1982,1.16E+12
4/1/1982,1.14E+12
5/1/1982,1.18E+12
6/1/1982,1.14E+12
7/1/1982,1.11E+12
8/1/1982,1.08E+12
9/1/1982,1.20E+12
10/1/1982,1.22E+12
