Date,Largest Share of Market Cap,Largest Share
1/1/1969,4.971599699,IBM
2/1/1969,4.701979215,IBM
3/1/1969,4.939743419,IBM
4/1/1969,5.11601849,IBM
5/1/1969,5.245429425,IBM
6/1/1969,5.098186904,IBM
7/1/1969,5.784838345,IBM
8/1/1969,5.933378759,IBM
9/1/1969,6.023301104,IBM
10/1/1969,6.169934108,IBM
11/1/1969,6.108551478,IBM
12/1/1969,6.28800793,IBM
1/1/1970,6.494652313,IBM
2/1/1970,6.446789804,IBM
3/1/1970,6.200396194,IBM
4/1/1970,6.210355998,IBM
5/1/1970,6.123305711,IBM
6/1/1970,6.138274894,IBM
7/1/1970,5.785409952,IBM
8/1/1970,5.449713052,IBM
9/1/1970,5.495838196,IBM
10/1/1970,5.754490196,IBM
11/1/1970,5.90764839,IBM
12/1/1970,5.904290372,IBM
1/1/1971,5.693672441,IBM
2/1/1971,5.551572366,IBM
3/1/1971,5.658174237,IBM
4/1/1971,5.757601052,IBM
5/1/1971,5.570724637,IBM
6/1/1971,5.314577621,IBM
7/1/1971,5.132959947,IBM
8/1/1971,4.913210004,IBM
9/1/1971,4.934918612,IBM
10/1/1971,4.95892123,IBM
11/1/1971,5.117298764,IBM
12/1/1971,5.217056714,IBM
1/1/1972,5.211826194,IBM
2/1/1972,5.542433093,IBM
3/1/1972,5.397071093,IBM
4/1/1972,5.549686367,IBM
5/1/1972,5.573827115,IBM
6/1/1972,5.667284223,IBM
7/1/1972,5.707402947,IBM
8/1/1972,5.853633563,IBM
9/1/1972,5.771267359,IBM
10/1/1972,5.79272078,IBM
11/1/1972,5.449988501,IBM
12/1/1972,4.613552552,IBM
1/1/1973,4.657852273,IBM
2/1/1973,5.196811739,IBM
3/1/1973,5.407818451,IBM
4/1/1973,5.454873143,IBM
5/1/1973,5.451656158,IBM
6/1/1973,5.411317838,IBM
7/1/1973,5.511240792,IBM
8/1/1973,5.181395861,IBM
9/1/1973,5.126565545,IBM
10/1/1973,4.174026451,IBM
11/1/1973,4.543441746,IBM
12/1/1973,4.931607456,IBM
1/1/1974,4.536394181,IBM
2/1/1974,4.501896117,IBM
3/1/1974,4.379269866,IBM
4/1/1974,4.450654851,IBM
5/1/1974,4.501988405,IBM
6/1/1974,4.417631642,IBM
7/1/1974,4.538663547,IBM
8/1/1974,4.643306559,IBM
9/1/1974,4.879800079,IBM
10/1/1974,4.556682972,IBM
11/1/1974,4.663694427,IBM
12/1/1974,4.570321919,IBM
1/1/1975,4.555072404,AT&T
2/1/1975,4.375832272,IBM
3/1/1975,4.848796292,IBM
4/1/1975,4.487501005,IBM
5/1/1975,4.352147787,IBM
6/1/1975,4.242402971,IBM
7/1/1975,3.929053021,IBM
8/1/1975,3.813050961,IBM
9/1/1975,3.84199939,IBM
10/1/1975,4.0455156,IBM
11/1/1975,4.323373449,IBM
12/1/1975,4.492948871,IBM
1/1/1976,4.508770251,IBM
2/1/1976,4.606546396,IBM
3/1/1976,4.548779751,IBM
4/1/1976,4.543917167,IBM
5/1/1976,4.444021248,IBM
6/1/1976,4.623698987,IBM
7/1/1976,4.786083442,IBM
8/1/1976,4.73847779,IBM
9/1/1976,4.786738357,IBM
10/1/1976,4.807088566,IBM
11/1/1976,4.741570516,IBM
12/1/1976,4.740061668,IBM
1/1/1977,4.595194738,IBM
2/1/1977,4.714858844,IBM
3/1/1977,4.825984954,IBM
4/1/1977,4.812551195,IBM
5/1/1977,4.523872918,AT&T
6/1/1977,4.609090408,AT&T
7/1/1977,4.428952282,IBM
8/1/1977,4.55754556,IBM
9/1/1977,4.653379224,IBM
10/1/1977,4.663757704,AT&T
11/1/1977,4.641824323,IBM
12/1/1977,4.590131556,IBM
1/1/1978,4.70336114,IBM
2/1/1978,4.846393387,IBM
3/1/1978,4.894366983,AT&T
4/1/1978,4.85170581,AT&T
5/1/1978,4.602633503,AT&T
6/1/1978,4.390054851,AT&T
7/1/1978,4.410127623,AT&T
8/1/1978,4.403929184,IBM
9/1/1978,4.410528833,IBM
10/1/1978,4.254575396,AT&T
11/1/1978,4.646473125,AT&T
12/1/1978,4.570623376,AT&T
1/1/1979,4.889941773,IBM
2/1/1979,4.842755396,IBM
3/1/1979,4.876679012,IBM
4/1/1979,4.826368785,IBM
5/1/1979,4.785315487,IBM
6/1/1979,4.733219987,IBM
7/1/1979,4.374052324,IBM
8/1/1979,4.107907928,IBM
9/1/1979,3.897525951,IBM
10/1/1979,3.773647749,IBM
11/1/1979,3.75802934,IBM
12/1/1979,3.721870665,IBM
1/1/1980,3.55801171,IBM
2/1/1980,3.573228619,IBM
3/1/1980,3.323415529,IBM
4/1/1980,3.484750869,AT&T
5/1/1980,3.596875508,AT&T
6/1/1980,3.501758005,AT&T
7/1/1980,3.314453939,AT&T
8/1/1980,3.161046647,IBM
9/1/1980,3.116085118,IBM
10/1/1980,2.957743861,IBM
11/1/1980,3.016342047,IBM
12/1/1980,2.819120266,IBM
1/1/1981,2.885164671,IBM
2/1/1981,2.988140499,AT&T
3/1/1981,2.970649355,AT&T
4/1/1981,2.829826192,AT&T
5/1/1981,3.063685941,AT&T
6/1/1981,3.192542449,AT&T
7/1/1981,3.207806844,AT&T
8/1/1981,3.242168896,AT&T
9/1/1981,3.466230699,AT&T
10/1/1981,3.897037886,AT&T
11/1/1981,3.786981092,AT&T
12/1/1981,3.685507601,AT&T
1/1/1982,3.756532345,AT&T
2/1/1982,3.939575274,AT&T
3/1/1982,3.853033771,AT&T
4/1/1982,4.02808682,AT&T
5/1/1982,3.750398586,AT&T
6/1/1982,3.929375979,AT&T
7/1/1982,3.886638017,AT&T
8/1/1982,4.080298423,AT&T
9/1/1982,3.988892764,AT&T
10/1/1982,3.958985755,AT&T
11/1/1982,3.732014845,AT&T
12/1/1982,3.622979118,AT&T
1/1/1983,3.974700667,IBM
2/1/1983,4.090753671,AT&T
3/1/1983,3.824949456,IBM
4/1/1983,3.790025925,IBM
5/1/1983,4.055898053,IBM
6/1/1983,3.797751861,IBM
7/1/1983,3.951189665,IBM
8/1/1983,4.079630525,IBM
9/1/1983,4.048200741,IBM
10/1/1983,4.213943118,IBM
11/1/1983,4.329329155,IBM
12/1/1983,3.913981079,IBM
1/1/1984,4.098652675,IBM
2/1/1984,3.819528058,IBM
3/1/1984,3.962272871,IBM
4/1/1984,4.057842507,IBM
5/1/1984,4.043329914,IBM
6/1/1984,4.101754551,IBM
7/1/1984,3.952963724,IBM
8/1/1984,4.240573167,IBM
9/1/1984,4.287120611,IBM
10/1/1984,4.334798105,IBM
11/1/1984,4.380156981,IBM
12/1/1984,4.355801712,IBM
1/1/1985,4.332350484,IBM
2/1/1985,4.435392053,IBM
3/1/1985,4.30746038,IBM
4/1/1985,4.099418879,IBM
5/1/1985,4.103850583,IBM
6/1/1985,4.016063832,IBM
7/1/1985,3.803117748,IBM
8/1/1985,4.048173559,IBM
9/1/1985,3.966399095,IBM
10/1/1985,4.041996861,IBM
11/1/1985,4.087762537,IBM
12/1/1985,4.150458313,IBM
1/1/1986,4.425660631,IBM
2/1/1986,4.282648148,IBM
3/1/1986,3.984187362,IBM
4/1/1986,3.814553945,IBM
5/1/1986,3.961283226,IBM
6/1/1986,3.695373449,IBM
7/1/1986,3.490114075,IBM
8/1/1986,3.355809637,IBM
9/1/1986,3.311297669,IBM
10/1/1986,3.49211762,IBM
11/1/1986,3.063971009,IBM
12/1/1986,3.130760737,IBM
1/1/1987,2.99010564,IBM
2/1/1987,2.842294961,IBM
3/1/1987,2.944054668,IBM
4/1/1987,3.096168292,IBM
5/1/1987,3.358364686,IBM
6/1/1987,3.365343129,IBM
7/1/1987,3.260256436,IBM
8/1/1987,3.100698503,IBM
9/1/1987,3.134360139,IBM
10/1/1987,2.864188566,IBM
11/1/1987,3.022643745,IBM
12/1/1987,2.971620178,IBM
1/1/1988,2.890632042,IBM
2/1/1988,2.703519959,IBM
3/1/1988,2.712554131,IBM
4/1/1988,2.506485987,IBM
5/1/1988,2.622078578,IBM
6/1/1988,2.614867169,IBM
7/1/1988,2.829411846,IBM
8/1/1988,2.830710954,IBM
9/1/1988,2.600158365,IBM
10/1/1988,2.579446723,IBM
11/1/1988,2.703926618,IBM
12/1/1988,2.701036616,IBM
1/1/1989,2.748840933,IBM
2/1/1989,2.774276935,IBM
3/1/1989,2.642778135,IBM
4/1/1989,2.326055755,IBM
5/1/1989,2.34413279,IBM
6/1/1989,2.181896029,IBM
7/1/1989,2.243926169,IBM
8/1/1989,2.144304156,IBM
9/1/1989,2.145282306,IBM
10/1/1989,1.977358555,IBM
11/1/1989,1.887665279,Exxon Mobil
12/1/1989,1.911111709,Exxon Mobil
1/1/1990,1.961129275,Exxon Mobil
2/1/1990,1.988676149,Exxon Mobil
3/1/1990,2.008670248,IBM
4/1/1990,1.985513909,IBM
5/1/1990,2.104835999,IBM
6/1/1990,2.134133987,IBM
7/1/1990,2.101855872,IBM
8/1/1990,2.045134491,Exxon Mobil
9/1/1990,2.184461372,Exxon Mobil
10/1/1990,2.265950426,Exxon Mobil
11/1/1990,2.303749377,Exxon Mobil
12/1/1990,2.309849192,IBM
1/1/1991,2.234294959,IBM
2/1/1991,2.392343954,IBM
3/1/1991,2.262218459,IBM
4/1/1991,2.171739783,Exxon Mobil
