Date,Equal-Weight,Value-Weight
1/1/1970,0.957823048,0.925208045
2/1/1970,0.997197744,0.978100964
3/1/1970,0.975260443,0.975069876
4/1/1970,0.823124561,0.875915041
5/1/1970,0.747963529,0.821707099
6/1/1970,0.694064226,0.782131906
7/1/1970,0.73425163,0.839236663
8/1/1970,0.779094615,0.879949563
9/1/1970,0.874780889,0.919060358
10/1/1970,0.823355723,0.90521715
11/1/1970,0.828414324,0.95226324
12/1/1970,0.8973932,1.009955796
1/1/1971,1.01614286,1.059070215
2/1/1971,1.061848005,1.076767152
3/1/1971,1.123815795,1.125346913
4/1/1971,1.155578589,1.163352838
5/1/1971,1.099944162,1.121729062
6/1/1971,1.085272693,1.127627474
7/1/1971,1.022962948,1.081531279
8/1/1971,1.066129452,1.127246603
9/1/1971,1.062133694,1.123390534
10/1/1971,1.000388981,1.079030092
11/1/1971,0.968587176,1.07982469
12/1/1971,1.084549873,1.177638695
1/1/1972,1.195465382,1.209253484
2/1/1972,1.24693227,1.248737101
3/1/1972,1.245456121,1.259881528
4/1/1972,1.250119591,1.267503924
5/1/1972,1.227384006,1.291947381
6/1/1972,1.186775876,1.266728287
7/1/1972,1.150029788,1.264257145
8/1/1972,1.16322668,1.309002907
9/1/1972,1.126340927,1.30091344
10/1/1972,1.111857607,1.313614377
11/1/1972,1.171168868,1.377793974
12/1/1972,1.157857264,1.39615639
1/1/1973,1.121138683,1.360505465
2/1/1973,1.036527693,1.302709235
3/1/1973,1.005486222,1.294067572
4/1/1973,0.932220688,1.229318069
5/1/1973,0.854527588,1.204290359
6/1/1973,0.820551386,1.195304825
7/1/1973,0.918762935,1.261289547
8/1/1973,0.878729842,1.224819128
9/1/1973,0.951490877,1.286645164
10/1/1973,0.951243919,1.284982759
11/1/1973,0.775501328,1.129856408
12/1/1973,0.744186628,1.143178424
1/1/1974,0.84331965,1.142804859
2/1/1974,0.848977282,1.144088609
3/1/1974,0.857825098,1.118670489
4/1/1974,0.813901779,1.072268184
5/1/1974,0.757541449,1.033251813
6/1/1974,0.735927249,1.011493333
7/1/1974,0.697843102,0.934191955
8/1/1974,0.640598229,0.854196365
9/1/1974,0.586625321,0.75529714
10/1/1974,0.643468477,0.88504541
11/1/1974,0.610826055,0.848362735
12/1/1974,0.562856165,0.825939979
1/1/1975,0.730964787,0.937964232
2/1/1975,0.772491639,0.997101332
3/1/1975,0.841295329,1.028347193
4/1/1975,0.875923908,1.079793851
5/1/1975,0.947510943,1.139946095
6/1/1975,1.021509883,1.197133531
7/1/1975,1.010472094,1.121882737
8/1/1975,0.960168331,1.097113139
9/1/1975,0.925358322,1.056206953
10/1/1975,0.943894128,1.118539435
11/1/1975,0.964299124,1.153513345
12/1/1975,0.957486566,1.1397026
1/1/1976,1.15153525,1.282662069
2/1/1976,1.273028772,1.287807695
3/1/1976,1.300469453,1.324365649
4/1/1976,1.28809749,1.309312546
5/1/1976,1.258793984,1.295896509
6/1/1976,1.295835589,1.353790761
7/1/1976,1.298098469,1.343146008
8/1/1976,1.275287859,1.340423932
9/1/1976,1.296990318,1.374948903
10/1/1976,1.264757975,1.345049524
11/1/1976,1.295700228,1.350499195
12/1/1976,1.42866689,1.430361834
1/1/1977,1.477789596,1.373182539
2/1/1977,1.474943286,1.350916378
3/1/1977,1.489109244,1.336939999
4/1/1977,1.51349486,1.341161869
5/1/1977,1.519219086,1.325393466
6/1/1977,1.602742445,1.393665785
7/1/1977,1.614180605,1.372678975
8/1/1977,1.604758809,1.3548888
9/1/1977,1.622020731,1.354465492
10/1/1977,1.583854836,1.300959285
11/1/1977,1.700833303,1.357935378
12/1/1977,1.737536648,1.368829426
1/1/1978,1.71271996,1.290520619
2/1/1978,1.755315529,1.276329779
3/1/1978,1.878010209,1.318693003
4/1/1978,2.037342211,1.432878437
5/1/1978,2.185028777,1.465439905
6/1/1978,2.198143641,1.44715008
7/1/1978,2.31767361,1.530163303
8/1/1978,2.547466456,1.596149963
9/1/1978,2.553087135,1.582379888
10/1/1978,2.058392002,1.407484342
11/1/1978,2.154441916,1.453464539
12/1/1978,2.182567545,1.480221961
1/1/1979,2.398712091,1.55235815
2/1/1979,2.3448471,1.508362761
3/1/1979,2.550096161,1.604599692
4/1/1979,2.621668271,1.615733744
5/1/1979,2.594667693,1.589967517
6/1/1979,2.729904141,1.660310697
7/1/1979,2.790531658,1.683843902
8/1/1979,3.009132465,1.794582363
9/1/1979,3.004036618,1.797718772
10/1/1979,2.711466039,1.672217545
11/1/1979,2.895681662,1.775112316
12/1/1979,3.101988829,1.822526766
1/1/1980,3.42579212,1.938696539
2/1/1980,3.396860264,1.941387527
3/1/1980,2.835608806,1.715491419
4/1/1980,2.977564462,1.80117325
5/1/1980,3.192282054,1.905284661
6/1/1980,3.327895635,1.971964881
7/1/1980,3.648434336,2.112135507
8/1/1980,3.912165724,2.156779892
9/1/1980,4.11242137,2.222009819
10/1/1980,4.303464957,2.271280721
11/1/1980,4.627329515,2.518318013
12/1/1980,4.476225007,2.432439227
1/1/1981,4.490687063,2.330505642
2/1/1981,4.510160542,2.373009028
3/1/1981,4.85250171,2.477412132
4/1/1981,5.003986398,2.445417244
5/1/1981,5.175008764,2.472558348
6/1/1981,5.106372382,2.444466892
7/1/1981,5.009552311,2.439904651
8/1/1981,4.623844871,2.29472106
9/1/1981,4.217191774,2.156026237
10/1/1981,4.534525347,2.284378209
11/1/1981,4.630025033,2.382835686
12/1/1981,4.542836569,2.3188711
1/1/1982,4.469128426,2.264760907
2/1/1982,4.266556064,2.152357957
3/1/1982,4.220774805,2.130727257
4/1/1982,4.464252655,2.226174166
5/1/1982,4.360793045,2.16351838
6/1/1982,4.221770504,2.117415491
7/1/1982,4.147968439,2.073443117
8/1/1982,4.416599992,2.320333827
9/1/1982,4.563955541,2.35511103
10/1/1982,5.184186063,2.630873654
11/1/1982,5.684670407,2.766149166
12/1/1982,5.834836002,2.809113095
1/1/1983,6.489536916,2.922798569
2/1/1983,6.862823529,3.011729126
3/1/1983,7.209032598,3.114850691
4/1/1983,7.791021128,3.34543002
5/1/1983,8.564537965,3.378611413
6/1/1983,9.014409337,3.510075839
7/1/1983,8.806610033,3.396406617
8/1/1983,8.498525186,3.411276405
9/1/1983,8.525348542,3.46752965
10/1/1983,8.028577774,3.376641372
11/1/1983,8.302558671,3.471458214
12/1/1983,8.132765662,3.432934874
1/1/1984,8.155294727,3.387912763
2/1/1984,7.679761783,3.255466578
3/1/1984,7.746330068,3.30278909
4/1/1984,7.606250102,3.315400393
5/1/1984,7.240040729,3.141607733
6/1/1984,7.366542022,3.221087765
7/1/1984,7.013532819,3.159219578
8/1/1984,7.702324467,3.518436242
9/1/1984,7.686210565,3.515829315
10/1/1984,7.525803241,3.517144595
11/1/1984,7.270983465,3.477254043
12/1/1984,7.330082341,3.563278003
1/1/1985,8.279022076,3.870854435
2/1/1985,8.696523259,3.941675887
3/1/1985,8.595391929,3.930563875
4/1/1985,8.475672572,3.920148843
5/1/1985,8.697415515,4.147468594
6/1/1985,8.711109503,4.216403395
7/1/1985,8.879794229,4.212757559
8/1/1985,8.852448957,4.18991622
9/1/1985,8.343353341,4.03051269
10/1/1985,8.52866997,4.215540564
11/1/1985,8.997994282,4.519358857
12/1/1985,9.283921077,4.725624473
1/1/1986,9.683973417,4.772946908
2/1/1986,10.27039817,5.132295788
3/1/1986,10.80328876,5.41797626
4/1/1986,10.98751724,5.377629529
5/1/1986,11.44066615,5.655906447
6/1/1986,11.55334881,5.747501096
7/1/1986,10.66153616,5.397720259
8/1/1986,10.8953751,5.757173855
